Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
José María Giménez,uy URU,ZG,Atlético Madrid,28,22,14,0,0,0,0,5,0,0.4,0.1,2,26,1
Mariano,do DOM,"AT,LT",Sevilla,29,9,2,0,0,0,0,1,0,1.2,0.1,3,6,17
Rafa Marín ,es ESP,ZG,Alavés,21,33,27,0,0,0,0,6,0,0.7,0.3,13,77,6
Diego Mariño,es ESP,G,Almería,33,1,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Mika Màrmol,es ESP,ZG,Las Palmas,21,36,36,0,1,0,0,6,1,0.2,1.0,36,142,13
Unai Marrero,es ESP,G,Real Sociedad,21,2,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Roger Martí,es ESP,AT,Cádiz,32,23,18,2,3,0,0,3,0,2.8,2.9,7,19,64
Iván Martín,es ESP,LT,Girona,24,36,33,5,4,0,0,5,0,2.9,3.4,84,143,109
Jon Martin,es ESP,ZG,Real Sociedad,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Mario Martín,es ESP,LT,Real Madrid,19,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Arnau Martinez,es ESP,ZG,Girona,20,21,14,0,2,0,0,5,0,0.2,1.4,29,68,16
Iñigo Martínez,es ESP,ZG,Barcelona,32,20,13,0,0,0,0,5,0,0.4,0.0,33,97,5
Marc Martínez,es ESP,G,Granada,33,3,3,0,0,0,0,0,0,0.0,0.0,0,0,0
Marvin,es ESP,"AT,ZG",Las Palmas,23,31,17,0,2,0,0,5,0,0.9,2.5,60,36,177
Omar Mascarell,es ESP,LT,Mallorca,30,29,18,0,0,0,0,8,1,0.4,0.0,12,67,11
Jaime Mata,es ESP,"AT,LT",Getafe,34,35,22,5,1,0,0,10,1,5.6,1.5,16,19,138
Luís Maximiano,pt POR,G,Almería,24,33,33,0,0,0,0,1,0,0.0,0.0,0,0,0
Borja Mayoral,es ESP,AT,Getafe,26,27,25,15,1,4,4,2,0,11.9,1.4,27,67,100
Mamadou Mbaye,sn SEN,ZG,Cádiz,25,4,2,0,0,0,0,2,0,0.3,0.0,0,4,0
Hannibal Mejbri,tn TUN,LT,Sevilla,20,6,1,0,0,0,0,2,0,0.0,0.5,1,5,6
Óscar Melendo,es ESP,"LT,AT",Granada,25,26,15,0,0,0,0,2,0,0.4,0.5,21,38,33
Gonzalo Melero,es ESP,"LT,AT",Almería,29,28,10,1,1,0,0,3,0,2.0,1.2,23,49,33
Memphis,nl NED,AT,Atlético Madrid,29,23,9,5,1,0,0,2,0,5.8,1.8,16,27,82
Houboulang Mendes,gw GNB,ZG,Almería,25,7,4,0,0,0,0,0,0,0.0,0.0,5,9,6
Tomás Mendes,es ESP,LT,Alavés,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Brais Méndez,es ESP,"LT,AT",Real Sociedad,26,32,27,5,6,0,0,7,0,4.2,4.2,45,128,121
Bruno Méndez,uy URU,ZG,Granada,23,17,15,2,0,0,0,4,0,0.6,0.1,8,47,14
Diego Méndez,es ESP,LT,Rayo Vallecano,19,1,0,0,0,0,0,0,0,0.0,0.0,1,1,0
Ferland Mendy,fr FRA,ZG,Real Madrid,28,23,21,0,0,0,0,5,0,0.2,0.9,19,84,96
Jorge Meré,es ESP,ZG,Cádiz,26,10,8,0,0,0,0,0,0,0.2,0.0,2,15,0
Mikel Merino,es ESP,LT,Real Sociedad,27,32,27,5,3,0,0,10,0,3.3,1.9,26,163,99
Omenuke Mfulu,cd COD,"LT,AT",Las Palmas,29,5,1,0,0,0,0,1,0,0.0,0.0,1,1,0
Miguel,es ESP,"AT,LT",Alavés,23,3,1,0,0,0,0,0,0,0.1,0.0,1,0,3
Éder Militão,br BRA,ZG,Real Madrid,25,10,6,0,0,0,0,0,0,0.1,0.0,7,15,2
Luis Milla,es ESP,LT,Getafe,28,27,25,0,1,0,0,6,0,0.6,1.7,31,121,35
Marko Milovanović,rs SRB,"AT,LT",Almería,19,11,2,1,0,0,0,0,0,1.5,0.1,2,3,13
Óscar Mingueza,es ESP,"ZG,LT",Celta Vigo,24,38,33,2,2,0,0,4,0,2.6,3.9,74,170,134
Ignasi Miquel,es ESP,ZG,Granada,30,34,33,1,1,0,0,5,0,1.4,1.2,8,83,8
Rafa Mir,es ESP,"AT,LT",Sevilla,26,15,3,2,0,0,0,1,0,1.4,0.3,3,2,16
Juan Miranda,es ESP,ZG,Betis,23,25,21,1,1,0,0,8,0,1.6,1.9,35,103,95
Stefan Mitrović,rs SRB,ZG,Getafe,33,11,9,1,0,0,0,3,0,0.1,0.3,4,19,2
Luka Modrić,hr CRO,LT,Real Madrid,37,32,18,2,6,0,0,2,0,1.3,5.5,53,196,85
Johan Mojica,co COL,ZG,Osasuna,30,30,22,0,3,0,0,1,0,1.0,2.6,57,82,117
Alberto Moleiro,es ESP,"AT,LT",Las Palmas,19,28,21,3,3,0,0,1,0,2.0,2.7,86,87,184
Nahuel Molina,ar ARG,ZG,Atlético Madrid,25,30,19,2,3,0,0,4,1,1.3,2.9,47,68,170
Jon Moncayola,es ESP,LT,Osasuna,25,33,21,1,3,0,0,2,1,0.6,2.3,14,99,46
César Montes,mx MEX,ZG,Almería,26,21,21,0,0,0,0,5,0,0.7,0.2,7,52,2
Álvaro Morata,es ESP,AT,Atlético Madrid,30,32,21,15,3,0,1,4,1,13.8,1.7,22,20,88
