Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Nicolas Cozza,fr FRA,ZG,Nantes,24,13,10,0,0,0,0,2,0,0.7,0.6,11,20,30
Trévis Dago,ci CIV,"AT,LT",Lille,18,4,0,0,1,0,0,1,0,0.0,0.4,1,0,1
Thijs Dallinga,nl NED,AT,Toulouse,22,33,28,14,2,1,3,6,0,14.1,1.2,32,38,164
Kevin Danso,at AUT,ZG,Lens,24,30,30,1,0,0,0,6,0,1.8,0.4,27,133,3
Dante,br BRA,ZG,Nice,39,32,32,1,1,0,0,5,1,0.9,1.0,13,185,6
Raimane Daou,km COM,"ZG,LT",Marseille,18,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Mohammed Daramy,dk DEN,"AT,LT",Reims,21,25,19,4,5,1,1,0,0,4.6,2.4,72,69,162
Achraf Dari,ma MAR,"ZG,AT",Brest,24,4,1,0,0,0,0,0,0,0.0,0.0,0,8,0
Jonathan David,ca CAN,AT,Lille,23,34,30,19,4,2,3,4,0,17.5,3.3,47,79,198
Thibault De Smet,be BEL,ZG,Reims,25,27,22,0,0,0,0,7,1,0.3,0.8,23,104,66
Romain Del Castillo,fr FRA,AT,Brest,27,33,30,8,8,3,3,4,0,5.2,9.9,101,155,287
Thomas Delaine,fr FRA,"ZG,LT",Strasbourg,31,27,24,1,1,0,0,5,0,1.7,3.6,63,52,151
Sacha Delaye,fr FRA,"LT,AT",Montpellier,21,9,0,0,0,0,0,1,0,0.3,0.1,2,4,8
Karamoko Dembele,sct SCO,"LT,AT",Brest,20,1,0,0,0,0,0,0,0,0.0,0.0,0,1,3
Ousmane Dembélé,fr FRA,"LT,AT",Paris S-G,26,26,17,3,8,0,0,0,0,4.4,6.7,160,133,247
Jessy Deminguet,fr FRA,"LT,AT",Strasbourg,25,18,9,0,0,0,0,1,0,0.3,0.4,7,24,13
Rémy Descamps,fr FRA,G,Nantes,27,6,6,0,0,0,0,1,0,0.0,0.0,0,0,0
Mikkel Desler,dk DEN,ZG,Toulouse,28,24,19,0,1,0,0,2,0,1.1,0.7,30,81,96
Arthur Desmas,fr FRA,G,Le Havre,29,33,33,0,0,0,0,2,0,0.0,0.4,0,0,0
Lamine Diack,sn SEN,LT,Nantes,22,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Mamadou Diakhon,fr FRA,"AT,LT",Reims,17,11,1,0,0,0,0,0,0,0.0,0.2,11,1,16
Bafodé Diakité,fr FRA,ZG,Lille,22,21,19,5,2,0,0,4,0,2.0,1.4,15,95,16
Ibrahim Diakité,gn GUI,ZG,Reims,19,5,1,0,0,0,0,0,0,0.0,0.2,7,7,9
Oumar Diakité,ci CIV,AT,Reims,19,28,18,5,1,0,1,4,0,7.0,1.3,29,28,107
Habib Diarra,sn SEN,"LT,AT",Strasbourg,19,31,28,3,1,1,1,3,0,3.4,1.3,59,107,88
Moussa Diarra,ml MLI,ZG,Toulouse,22,22,15,1,2,0,0,5,0,0.5,1.1,18,70,12
Krépin Diatta,sn SEN,"ZG,AT",Monaco,24,26,12,0,2,0,0,2,0,0.5,1.8,48,80,95
Mory Diaw,sn SEN,G,Clermont Foot,30,30,30,0,0,0,0,3,0,0.0,0.1,0,1,0
Mahamadou Diawara,fr FRA,LT,Lyon,18,11,4,0,0,0,0,2,0,0.7,0.1,13,20,14
Bamba Dieng,sn SEN,AT,Lorient,23,16,5,4,1,0,0,3,0,3.2,1.6,5,4,44
Guillaume Dietsch,fr FRA,G,Metz,22,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Sinaly Diomande,ci CIV,ZG,Lyon,22,10,10,0,0,0,0,2,0,1.0,0.7,5,43,0
Edan Diop,fr FRA,"LT,ZG",Monaco,18,10,0,0,0,0,0,3,0,0.0,0.0,4,7,11
