Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Marko Grujić,rs SRB,LT,Porto,27,10,3,0,1,0,0,1,0,0.1,0.8,3,36,3
Gonçalo Guedes,pt POR,"AT,LT",Benfica,26,9,1,0,0,0,0,0,0,0.3,0.0,9,5,25
Guga,pt POR,"ZG,LT",Portimonense,19,27,17,1,1,0,0,6,0,0.5,1.2,24,20,75
Ricardo Guimarães,mz MOZ,LT,Chaves,27,22,15,0,1,0,0,7,0,0.3,0.7,14,40,24
Rafik Guitane,fr FRA,"AT,LT",Estoril,24,33,31,5,3,0,0,0,0,2.6,5.6,145,129,174
Raphael Guzzo,pt POR,"LT,AT",Chaves,28,17,16,2,0,0,0,5,0,1.5,0.9,15,54,40
Viktor Gyökeres,se SWE,AT,Sporting CP,25,33,32,29,10,5,5,3,0,22.5,7.7,114,51,355
Justin de Haas,nl NED,ZG,Famalicão,23,22,18,1,0,0,0,5,1,1.4,0.1,2,39,1
Yanis Hamache,dz ALG,ZG,Arouca,24,2,0,0,0,0,0,0,0,0.0,0.0,1,6,9
Tomás Händel,pt POR,LT,Vitória,22,31,29,2,1,0,0,5,0,1.7,1.4,51,145,46
Héctor,es ESP,AT,Chaves,27,32,32,14,1,5,6,2,0,12.7,0.6,11,46,73
Gustavo Henrique,br BRA,"ZG,LT",Estrela,24,4,1,0,0,0,0,0,0,0.3,0.3,2,5,10
Morten Hjulmand,dk DEN,LT,Sporting CP,24,30,28,3,2,0,0,12,0,1.9,1.6,5,104,26
Jordan Holsgrove,sct SCO,LT,Estoril,23,15,15,2,2,0,0,6,1,0.6,1.2,14,87,9
André Horta,pt POR,LT,Braga,26,14,5,2,1,0,0,0,0,0.5,1.0,16,79,23
Ricardo Horta,pt POR,"AT,LT",Braga,28,28,27,9,4,0,0,3,0,7.1,7.2,37,138,180
André Inácio,br BRA,"AT,LT",Estrela,21,27,13,4,0,0,0,2,0,5.9,0.8,43,25,79
Gonçalo Inácio,pt POR,ZG,Sporting CP,21,32,28,1,0,0,0,8,1,1.1,0.3,35,236,8
Hernani Infande,pt POR,"AT,LT",Moreirense,22,5,1,1,0,0,0,0,0,0.5,0.0,3,1,4
Fabrício Isidoro,br BRA,LT,Farense,31,32,19,3,1,0,0,8,1,1.6,1.1,21,76,48
Franco Israel,uy URU,G,Sporting CP,23,10,10,0,0,0,0,0,0,0.0,0.0,0,0,0
Abass Issah,gh GHA,"LT,AT",Chaves,24,7,3,0,2,0,0,1,0,0.8,0.7,8,9,24
Léo Jabá,br BRA,"AT,LT",Estrela,24,31,29,5,4,1,1,3,1,3.7,6.2,88,66,166
Ivan Jaime Pajuelo,es ESP,"LT,AT",Porto,22,21,5,1,0,0,0,0,0,1.1,0.6,14,32,43
Jajá,br BRA,"AT,LT",Casa Pia,22,12,3,0,0,0,0,0,0,0.3,0.4,25,15,36
Jardel,gw GNB,"AT,LT",Vizela,25,13,1,0,1,0,0,0,0,0.5,0.7,9,12,20
Jason,es ESP,"AT,LT",Arouca,29,34,32,6,5,0,0,4,0,7.1,5.9,51,96,234
Sylvester Jasper,bg BUL,"AT,LT",Portimonense,21,24,20,2,2,0,0,2,0,3.0,2.0,50,37,107
Anderson Jesus,br BRA,ZG,Vizela,28,29,27,0,0,0,0,5,0,0.7,0.4,7,54,0
Jhonatan,br BRA,G,Rio Ave,32,26,26,0,0,0,0,4,0,0.0,0.0,0,2,1
Jo,br BRA,"AT,LT",Chaves,28,27,9,2,2,0,0,1,0,3.4,1.2,7,6,45
Joca,pt POR,"AT,LT",Rio Ave,27,28,21,4,2,0,0,2,0,2.5,1.7,38,79,78
