Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Jaïro Riedewald,nl NED,"LT,AT",Crystal Palace,26,9,2,0,0,0,0,0,0,0.0,0.0,3,10,3
Matt Ritchie,sct SCO,"AT,LT",Newcastle Utd,33,13,0,1,0,0,0,1,0,1.0,0.0,5,8,13
Connor Roberts,wls WAL,ZG,Burnley,27,14,8,0,1,0,0,5,1,0.0,0.2,6,38,13
Andrew Robertson,sct SCO,ZG,Liverpool,29,23,18,3,2,0,0,2,0,1.9,5.4,63,140,130
Antonee Robinson,us USA,ZG,Fulham,25,37,37,0,6,0,0,6,0,0.7,4.2,99,129,194
Jack Robinson,eng ENG,ZG,Sheffield Utd,29,34,31,1,1,0,0,10,0,1.2,1.2,8,63,14
Rodri,es ESP,LT,Manchester City,27,34,34,8,9,0,0,8,1,4.1,3.9,76,376,55
Jay Rodriguez,eng ENG,AT,Burnley,34,21,7,2,1,1,1,0,0,3.5,0.2,2,17,28
Mads Roerslev,dk DEN,ZG,Brentford,24,34,22,1,2,0,0,1,0,0.9,1.8,18,43,90
Morgan Rogers,eng ENG,"LT,AT",Aston Villa,21,11,8,3,1,0,0,3,0,1.4,0.6,22,28,30
Cristian Romero,ar ARG,ZG,Tottenham,25,33,33,5,0,0,0,7,1,3.5,0.4,32,179,8
Joe Rothwell,eng ENG,LT,Bournemouth,28,11,3,0,0,0,0,0,0,0.1,0.2,6,20,3
Pelly Ruddock Mpanzu,cd COD,LT,Luton Town,30,27,11,0,0,0,0,1,0,0.6,0.4,10,34,15
José Sá,pt POR,G,Wolves,30,35,35,0,1,0,0,1,0,0.0,0.0,0,1,0
Dominic Sadi,eng ENG,AT,Bournemouth,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Bukayo Saka,eng ENG,AT,Arsenal,21,35,35,16,9,6,6,4,0,15.5,10.5,155,126,508
Mohamed Salah,eg EGY,AT,Liverpool,31,32,28,18,10,5,7,2,0,21.2,11.8,98,147,341
William Saliba,fr FRA,ZG,Arsenal,22,38,38,2,1,0,0,4,0,1.6,0.2,16,157,6
Albert Sambi Lokonga,be BEL,LT,Luton Town,23,17,16,1,3,0,0,4,0,0.6,1.4,29,72,13
Davinson Sánchez,co COL,ZG,Tottenham,27,1,0,0,0,0,0,1,0,0.1,0.0,0,2,0
Robert Sánchez,es ESP,G,Chelsea,25,16,16,0,0,0,0,2,0,0.0,0.0,0,1,0
Jadon Sancho,eng ENG,"AT,LT",Manchester Utd,23,3,0,0,0,0,0,0,0,0.0,0.1,10,4,5
Ibrahim Sangaré,ci CIV,LT,Nott'ham Forest,25,17,13,0,0,0,0,6,0,0.6,0.4,5,44,7
Andrey Santos,br BRA,LT,Nott'ham Forest,19,1,0,0,0,0,0,0,0,0.1,0.0,0,0,0
Pablo Sarabia,es ESP,"LT,AT",Wolves,31,30,20,4,7,2,2,5,0,5.5,5.9,41,109,137
Dane Scarlett,eng ENG,AT,Tottenham,19,4,0,0,0,0,0,0,0,0.0,0.0,0,1,4
Kevin Schade,de GER,"AT,LT",Brentford,21,11,3,2,1,0,0,0,0,1.2,0.7,8,9,23
