Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Benedikt Gimber,de GER,ZG,Heidenheim,26,24,24,1,1,0,0,9,0,1.4,1.1,3,25,6
Matthias Ginter,de GER,ZG,Freiburg,29,23,22,0,2,0,0,3,0,1.4,1.4,23,136,20
Klaus Gjasula,al ALB,"ZG,LT",Darmstadt 98,33,22,17,0,0,0,0,7,1,0.5,0.2,8,70,7
Serge Gnabry,de GER,"AT,LT",Bayern Munich,28,10,5,3,1,0,0,0,0,2.4,1.2,23,23,49
Leon Goretzka,de GER,LT,Bayern Munich,28,30,25,6,7,0,0,3,0,5.0,5.3,66,176,71
Robin Gosens,de GER,"ZG,LT",Union Berlin,29,30,27,6,3,0,0,9,1,2.1,3.0,21,97,113
Mario Götze,de GER,LT,Eint Frankfurt,31,30,23,3,2,0,0,5,1,2.9,3.0,22,115,118
Jeffrey Gouweleeuw,nl NED,ZG,Augsburg,32,30,29,1,0,0,0,7,0,1.3,1.8,33,143,17
Jens Grahl,de GER,G,Eint Frankfurt,34,2,2,0,1,0,0,0,0,0.0,0.2,0,0,0
Ryan Gravenberch,nl NED,AT,Bayern Munich,21,1,0,0,0,0,0,1,0,0.0,0.2,0,1,3
Michael Gregoritsch,at AUT,AT,Freiburg,29,32,19,7,4,0,0,2,0,9.2,1.0,12,48,89
Vincenzo Grifo,it ITA,"LT,AT",Freiburg,30,32,29,8,8,6,6,3,0,7.7,8.2,54,115,148
Florian Grillitsch,at AUT,"ZG,LT",Hoffenheim,27,30,25,1,6,0,0,8,0,1.2,1.7,32,152,22
Álex Grimaldo,es ESP,ZG,Leverkusen,27,33,31,10,13,0,0,1,0,5.7,9.1,77,162,261
Christian Groß,de GER,"ZG,LT",Werder Bremen,34,20,8,0,1,0,0,1,0,0.3,0.4,17,46,5
Brajan Gruda,de GER,"LT,AT",Mainz 05,19,28,19,4,3,0,0,5,0,3.5,4.1,100,71,167
Ilia Gruev,bg BUL,LT,Werder Bremen,23,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Raphaël Guerreiro,pt POR,"ZG,LT",Bayern Munich,29,20,13,3,0,0,0,2,0,2.4,2.0,36,86,90
Josuha Guilavogui,fr FRA,ZG,Mainz 05,32,11,5,0,1,0,0,1,0,0.0,0.1,1,9,1
Serhou Guirassy,gn GUI,AT,Stuttgart,27,28,25,28,3,4,4,0,0,20.8,6.6,32,56,183
Péter Gulácsi,hu HUN,G,RB Leipzig,33,13,13,0,0,0,0,0,0,0.0,0.0,0,1,0
Manuel Gulde,de GER,ZG,Freiburg,32,27,23,1,0,0,0,5,1,1.1,0.1,10,74,3
Robert Gumny,pl POL,ZG,Augsburg,25,13,6,0,0,0,0,3,0,0.2,0.1,9,18,17
Christian Günter,de GER,ZG,Freiburg,30,15,13,1,2,0,0,1,0,0.5,2.1,15,23,63
