Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Kostas Manolas,gr GRE,ZG,Salernitana,32,8,6,0,0,0,0,0,0,0.1,0.1,0,10,2
Riccardo Marchizza,it ITA,ZG,Frosinone,25,13,13,0,4,0,0,1,0,0.4,0.8,6,36,39
Gian Marco Ferrari,it ITA,ZG,Sassuolo,31,31,25,1,0,0,0,4,0,1.6,0.3,32,148,7
Pablo Marí,es ESP,ZG,Monza,29,34,30,0,0,0,0,7,0,0.4,0.3,2,62,1
Mirko Marić,hr CRO,AT,Monza,28,10,1,1,0,0,0,0,1,0.9,0.5,2,4,30
Răzvan Marin,ro ROU,LT,Empoli,27,30,20,0,3,0,0,3,0,1.1,3.0,21,72,24
Agustín Martegani,ar ARG,LT,Salernitana,23,18,6,1,0,0,0,1,0,0.6,0.5,14,28,22
Aarón Martín,es ESP,ZG,Genoa,26,22,17,0,1,0,0,4,1,0.2,1.7,28,35,72
Tommaso Martinelli,it ITA,G,Fiorentina,17,1,1,0,0,0,0,0,0,,,,,
Josep Martinez,es ESP,G,Genoa,25,36,36,0,0,0,0,4,1,0.0,0.0,0,2,0
Lautaro Martínez,ar ARG,AT,Inter,25,33,31,24,3,2,3,5,0,17.6,3.6,54,80,172
Lucas Martínez Quarta,ar ARG,ZG,Fiorentina,27,29,26,5,1,0,0,9,0,2.7,1.8,23,177,16
Adam Marušić,me MNE,ZG,Lazio,30,37,37,1,0,0,0,3,1,0.4,0.8,35,118,108
Adam Masina,ma MAR,ZG,Udinese,29,4,1,0,0,0,0,2,0,0.1,0.0,0,1,3
Adam Masina,ma MAR,ZG,Torino,29,16,10,0,0,0,0,0,0,0.2,0.2,3,42,6
Alan Matturro,uy URU,ZG,Genoa,18,6,1,0,0,0,0,0,0,0.1,0.0,0,4,1
Luca Mazzitelli,it ITA,LT,Frosinone,27,29,26,5,0,0,0,6,1,2.3,1.1,18,167,53
Pasquale Mazzocchi,it ITA,ZG,Salernitana,28,18,16,0,1,0,0,4,0,0.3,1.3,36,36,62
Pasquale Mazzocchi,it ITA,ZG,Napoli,28,10,4,0,1,0,0,0,1,0.2,0.2,14,24,22
Jordi Mboula,es ESP,"AT,LT",Hellas Verona,24,11,5,0,1,0,0,0,0,0.2,0.4,10,4,22
Weston McKennie,us USA,"LT,ZG",Juventus,24,34,29,0,7,0,0,6,0,3.0,3.9,64,92,176
Arthur Melo,br BRA,LT,Fiorentina,26,33,23,2,3,1,1,2,0,1.0,1.7,21,133,27
Leonardo Mendicino,it ITA,LT,Atalanta,17,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Alex Meret,it ITA,G,Napoli,26,31,31,0,0,0,0,0,0,0.0,0.1,0,0,0
Junior Messias,br BRA,"LT,ZG",Genoa,32,18,13,1,0,0,0,0,0,1.6,1.3,35,29,75
Nikola Milenković,rs SRB,ZG,Fiorentina,25,34,27,0,0,0,0,4,0,0.4,0.7,8,81,10
Arkadiusz Milik,pl POL,AT,Juventus,29,32,7,4,1,0,0,2,1,5.1,2.6,12,22,49
